Date,Age 0-5,Age 6-17,Age 18-24,Age 25-34,Age 35-44,Age 45-54,Age 55-64,Age 65-74,Age 75-84,Age 85+,Age Unknown,Total
12/10/2020,8,8,20,18,32,50,89,117,156,139,10,647
13/10/2020,6,5,19,26,37,80,124,145,168,120,14,744
14/10/2020,4,8,14,41,26,63,86,139,167,116,24,688
15/10/2020,2,3,13,39,34,65,106,131,210,163,3,769
16/10/2020,7,5,11,22,30,61,91,113,144,110,17,611
17/10/2020,5,4,18,33,39,58,86,127,189,153,44,756
18/10/2020,13,7,15,29,41,77,118,166,192,163,26,847
19/10/2020,9,13,17,22,49,87,109,146,214,157,19,842
20/10/2020,4,9,21,36,40,80,102,177,227,196,0,892
21/10/2020,7,11,16,26,47,86,130,171,260,165,19,938
22/10/2020,5,3,18,26,41,90,119,171,241,227,4,945
23/10/2020,8,6,12,33,28,85,144,169,264,203,13,965
24/10/2020,8,2,9,26,52,75,123,187,273,174,8,937
25/10/2020,7,8,22,41,62,105,136,220,281,220,34,"1,136"
26/10/2020,12,4,21,39,66,120,195,234,298,221,23,"1,233"
27/10/2020,6,8,16,47,51,120,165,192,291,227,30,"1,153"
28/10/2020,6,7,19,47,45,112,176,213,314,240,11,"1,190"
29/10/2020,11,4,13,48,54,110,181,251,330,240,29,"1,271"
30/10/2020,5,8,24,47,43,92,136,217,234,186,36,"1,028"
31/10/2020,11,6,17,38,54,97,143,234,298,244,21,"1,163"
01/11/2020,9,11,20,46,46,97,163,233,330,250,26,"1,231"
02/11/2020,10,10,16,46,66,114,179,231,317,270,11,"1,270"
03/11/2020,11,15,14,35,53,111,143,228,325,250,16,"1,201"
04/11/2020,10,10,9,52,58,125,195,247,336,276,8,"1,326"
05/11/2020,6,9,15,43,58,96,176,248,329,293,18,"1,291"
06/11/2020,7,12,23,47,42,99,155,202,307,220,11,"1,125"
07/11/2020,6,6,17,52,56,139,169,225,319,252,17,"1,258"
08/11/2020,10,6,24,59,57,125,178,265,397,302,14,"1,437"
09/11/2020,9,13,22,68,61,116,207,286,386,326,14,"1,508"
10/11/2020,4,12,22,66,54,130,206,278,403,331,18,"1,524"
11/11/2020,6,14,17,70,83,132,212,312,393,363,25,"1,627"
12/11/2020,12,12,25,58,90,134,215,308,402,330,26,"1,612"
13/11/2020,10,15,25,48,60,139,178,273,368,235,22,"1,373"
14/11/2020,8,12,20,55,72,128,170,261,355,251,3,"1,335"
15/11/2020,5,11,15,47,64,124,215,267,399,286,0,"1,433"
16/11/2020,8,11,20,47,77,125,194,314,392,318,0,"1,506"
17/11/2020,6,11,21,58,75,132,181,255,400,285,0,"1,424"
18/11/2020,5,9,18,59,81,136,211,284,389,307,0,"1,499"
19/11/2020,9,7,14,45,65,137,193,262,358,304,2,"1,396"
20/11/2020,10,11,12,48,60,115,151,259,311,272,0,"1,249"
21/11/2020,8,15,15,38,55,109,175,233,300,256,0,"1,204"
22/11/2020,10,12,18,49,77,116,170,232,306,294,0,"1,284"
23/11/2020,10,12,17,59,79,128,181,257,317,281,0,"1,341"
24/11/2020,10,8,30,46,67,97,170,223,320,262,0,"1,233"
25/11/2020,6,11,28,50,81,115,171,227,366,287,0,"1,342"
26/11/2020,10,7,18,47,57,100,147,194,281,256,0,"1,117"
27/11/2020,9,15,16,39,51,90,136,181,251,216,0,"1,004"
28/11/2020,9,5,11,45,59,76,103,182,253,272,0,"1,015"
29/11/2020,9,12,13,49,58,101,147,184,305,282,0,"1,160"
30/11/2020,6,10,15,46,57,100,137,196,311,288,0,"1,166"
01/12/2020,7,5,10,47,55,104,162,204,296,278,21,"1,189"
02/12/2020,9,19,16,42,70,98,137,199,308,279,4,"1,181"
03/12/2020,9,9,14,50,58,96,173,237,323,283,1,"1,253"
04/12/2020,8,10,13,53,64,115,123,192,277,278,40,"1,173"
05/12/2020,6,9,13,30,57,115,131,203,281,262,13,"1,120"
06/12/2020,5,11,13,53,53,96,156,205,346,319,0,"1,257"
07/12/2020,6,17,14,51,59,118,163,253,331,371,0,"1,383"
08/12/2020,9,9,23,49,75,127,177,261,365,356,0,"1,451"
09/12/2020,7,19,22,44,81,104,188,227,368,385,0,"1,445"
10/12/2020,8,14,24,44,66,126,180,236,356,368,0,"1,422"
11/12/2020,6,7,18,47,67,122,181,215,348,345,2,"1,358"
12/12/2020,17,10,16,40,74,127,174,257,387,398,1,"1,501"
13/12/2020,12,12,16,56,69,134,196,245,394,378,4,"1,516"
14/12/2020,12,15,21,51,78,140,198,286,412,420,10,"1,643"
15/12/2020,13,16,27,60,86,132,186,276,443,399,0,"1,638"
16/12/2020,17,11,24,56,90,142,210,303,439,399,0,"1,691"
17/12/2020,19,12,16,77,99,148,242,285,455,411,0,"1,764"
18/12/2020,15,20,21,75,92,142,210,270,402,345,0,"1,592"
19/12/2020,13,12,27,67,95,163,249,287,435,378,0,"1,726"
20/12/2020,16,16,24,80,107,211,260,290,450,431,0,"1,885"
21/12/2020,17,17,30,89,132,197,282,377,464,459,0,"2,064"
22/12/2020,25,12,16,84,123,220,299,374,502,437,0,"2,092"
23/12/2020,11,14,30,91,97,221,255,308,464,380,18,"1,889"
24/12/2020,14,9,17,63,114,213,238,315,389,333,12,"1,717"
25/12/2020,12,11,23,79,134,212,286,344,424,362,15,"1,902"
26/12/2020,17,12,25,87,158,238,324,405,493,450,15,"2,224"
27/12/2020,27,20,23,91,161,330,394,427,546,482,7,"2,508"
28/12/2020,29,19,41,126,182,305,379,463,615,528,24,"2,711"
29/12/2020,22,15,45,124,177,299,414,493,619,542,26,"2,776"
30/12/2020,20,17,37,128,195,290,451,435,607,562,23,"2,765"
31/12/2020,19,12,33,116,155,249,389,417,585,444,6,"2,425"
01/01/2021,19,20,30,128,166,308,448,557,689,567,0,"2,932"
02/01/2021,18,18,36,101,219,317,453,538,731,587,0,"3,018"
03/01/2021,20,21,61,152,198,361,501,543,758,626,0,"3,241"
04/01/2021,28,25,37,132,219,335,562,588,801,683,0,"3,410"
05/01/2021,26,20,59,149,229,373,533,674,776,699,4,"3,542"
06/01/2021,24,23,50,140,229,417,604,705,873,724,0,"3,789"
07/01/2021,24,23,44,160,173,372,625,670,843,752,0,"3,686"
08/01/2021,29,14,40,129,193,366,497,623,804,681,0,"3,376"
09/01/2021,20,8,48,126,190,363,562,656,843,716,0,"3,532"
10/01/2021,14,16,43,112,192,331,502,676,781,737,0,"3,404"
11/01/2021,16,19,44,153,209,388,597,704,817,740,0,"3,687"
12/01/2021,27,17,49,159,217,389,624,718,899,800,0,"3,899"
13/01/2021,32,13,51,171,222,363,523,707,827,683,2,"3,594"
14/01/2021,21,13,44,135,210,347,566,640,748,697,0,"3,421"
15/01/2021,20,13,56,116,170,328,507,589,698,612,7,"3,116"
16/01/2021,25,23,46,108,188,355,563,585,760,725,3,"3,381"
17/01/2021,17,10,40,109,170,371,486,606,744,723,0,"3,276"
18/01/2021,15,20,42,132,196,331,592,688,805,727,0,"3,548"
19/01/2021,25,18,48,138,203,377,610,623,817,706,0,"3,565"
20/01/2021,20,25,49,141,213,400,535,610,764,711,0,"3,468"
21/01/2021,15,17,31,111,186,341,541,562,686,581,0,"3,071"
22/01/2021,24,18,38,126,164,301,531,486,611,536,0,"2,835"
23/01/2021,24,10,28,107,138,276,418,474,593,561,0,"2,629"
24/01/2021,26,12,43,111,144,297,430,488,589,537,0,"2,677"
25/01/2021,19,20,36,112,167,279,410,476,549,452,0,"2,520"
26/01/2021,20,20,40,108,155,260,455,480,577,532,0,"2,647"
27/01/2021,11,11,40,99,184,276,422,464,557,529,0,"2,593"
28/01/2021,16,12,36,101,161,291,429,437,595,489,0,"2,567"
29/01/2021,19,15,38,94,116,245,394,402,485,437,0,"2,245"
30/01/2021,16,12,34,86,111,189,359,360,470,426,0,"2,063"
31/01/2021,13,14,40,82,137,192,343,395,451,391,0,"2,058"
01/02/2021,20,20,22,83,149,237,397,405,490,428,0,"2,251"
02/02/2021,23,16,32,77,127,190,324,422,494,420,0,"2,125"
03/02/2021,11,18,30,97,108,216,291,362,463,400,0,"1,996"
04/02/2021,12,14,26,85,117,164,300,341,389,343,0,"1,791"
05/02/2021,12,14,32,77,126,170,265,300,351,303,0,"1,650"
06/02/2021,3,11,33,63,104,160,258,286,333,338,0,"1,589"
07/02/2021,17,7,28,66,106,179,283,289,303,321,5,"1,604"
08/02/2021,17,18,21,72,102,191,278,332,336,305,4,"1,676"
09/02/2021,11,8,26,72,90,151,236,289,306,283,0,"1,472"
10/02/2021,17,10,21,81,94,137,233,282,309,279,0,"1,463"
11/02/2021,16,10,17,65,88,148,250,228,263,268,0,"1,353"
12/02/2021,7,6,21,67,77,138,208,273,257,199,0,"1,253"
13/02/2021,9,9,27,59,71,127,199,211,220,237,0,"1,169"
14/02/2021,14,11,29,61,81,135,228,221,271,254,0,"1,305"
15/02/2021,14,6,20,60,70,145,204,236,279,247,0,"1,281"
16/02/2021,7,12,13,57,95,148,211,231,243,216,0,"1,233"
17/02/2021,6,10,17,61,69,139,201,238,210,222,0,"1,173"
18/02/2021,7,6,20,58,71,117,183,215,227,183,0,"1,087"
19/02/2021,13,9,17,55,72,111,158,177,216,167,0,995
20/02/2021,9,8,23,42,63,93,162,157,147,148,7,859
21/02/2021,13,5,18,48,77,97,174,179,179,182,4,976
22/02/2021,8,12,30,47,79,98,164,180,171,134,14,937
23/02/2021,14,11,16,55,76,116,178,164,174,140,0,944
24/02/2021,10,4,9,41,68,104,159,156,138,137,0,826
25/02/2021,11,9,12,52,56,108,148,123,147,132,0,798
26/02/2021,10,7,17,34,48,73,124,127,115,121,0,676
27/02/2021,2,1,12,35,41,65,120,107,114,102,0,599
28/02/2021,4,13,14,32,49,68,125,122,107,106,0,640
01/03/2021,4,7,13,39,55,82,130,121,128,109,0,688
02/03/2021,6,11,7,42,43,73,118,119,131,113,0,663
03/03/2021,9,7,16,28,47,65,109,95,107,104,0,587
04/03/2021,7,6,12,43,48,64,95,100,95,98,0,568
05/03/2021,4,8,16,35,39,57,75,71,82,88,0,475
06/03/2021,7,3,13,31,31,54,88,83,84,111,0,505
07/03/2021,4,2,9,33,28,55,92,70,74,77,0,444
08/03/2021,6,7,10,39,39,59,93,69,98,62,0,482
09/03/2021,10,7,11,22,34,51,72,69,100,91,0,467
10/03/2021,11,3,8,39,33,54,84,70,79,87,0,468
11/03/2021,7,3,19,24,29,60,79,62,84,70,0,437
